x,2015-Tot-LluMax,2016-Tot-LluMax,2017-Tot-LluMax,2018-Tot-LluMax,2019-Tot-LluMax,2020-Tot-LluMax,2021-Tot-LluMax,2022-Tot-LluMax,2023-Tot-LluMax,2024-Tot-LluMax,2025-Tot-LluMax,2015-Tot-Hua-LluTT,2016-Tot-Hua-LluTT,2017-Tot-Hua-LluTT,2018-Tot-Hua-LluTT,2019-Tot-Hua-LluTT,2020-Tot-Hua-LluTT,2021-Tot-Hua-LluTT,2022-Tot-Hua-LluTT,2023-Tot-Hua-LluTT,2024-Tot-Hua-LluTT,2025-Tot-Hua-LluTT,2015-Tot-TempMaxPro,2016-Tot-TempMaxPro,2017-Tot-TempMaxPro,2018-Tot-TempMaxPro,2019-Tot-TempMaxPro,2020-Tot-TempMaxPro,2021-Tot-TempMaxPro,2022-Tot-TempMaxPro,2023-Tot-TempMaxPro,2024-Tot-TempMaxPro,2025-Tot-TempMaxPro,2015-Tot-TempMaxEx,2016-Tot-TempMaxEx,2017-Tot-TempMaxEx,2018-Tot-TempMaxEx,2019-Tot-TempMaxEx,2020-Tot-TempMaxEx,2021-Tot-TempMaxEx,2022-Tot-TempMaxEx,2023-Tot-TempMaxEx,2024-Tot-TempMaxEx,2025-Tot-TempMaxEx,2015-Tot-TempMinPro,2016-Tot-TempMinPro,2017-Tot-TempMinPro,2018-Tot-TempMinPro,2019-Tot-TempMinPro,2020-Tot-TempMinPro,2021-Tot-TempMinPro,2022-Tot-TempMinPro,2023-Tot-TempMinPro,2024-Tot-TempMinPro,2025-Tot-TempMinPro,2015-Tot-TempMinEx,2016-Tot-TempMinEx,2017-Tot-TempMinEx,2018-Tot-TempMinEx,2019-Tot-TempMinEx,2020-Tot-TempMinEx,2021-Tot-TempMinEx,2022-Tot-TempMinEx,2023-Tot-TempMinEx,2024-Tot-TempMinEx,2025-Tot-TempMinEx,2015-Tot-TempMed,2016-Tot-TempMed,2017-Tot-TempMed,2018-Tot-TempMed,2019-Tot-TempMed,2020-Tot-TempMed,2021-Tot-TempMed,2022-Tot-TempMed,2023-Tot-TempMed,2024-Tot-TempMed,2025-Tot-TempMed,,,,,,,,,,,,,,,,
1,36.5,15.2,6.8,25.6,7,12.2,117.2,18.2,5.9,71.2,12.7,81.17,51.02,16.69,56.73,19.63,66.35,175.39,60.07,15.07,123.34,65.65,19.5,19.9,22.9,17.9,20.2,21.3,20.8,20.9,23.4,21.4,17.5,28,28,31,31,27,28,31,31,31,32,31,10.5,10.3,11.2,9.1,9.6,10.9,11.2,10.5,11.8,12.2,11.3,7,4,7,4,4,7,7,7,4,9,6,15,15.1,17,13.5,14.9,16.1,16,15.7,17.6,16.8,14.4,,,,,,,,,,,,,,,,
2,6.2,9.7,9.3,11.6,8.8,30.5,24.1,6.8,12.1,7.2,43.1,19.68,37.14,21.83,14.17,19.47,39.97,41.68,23.83,24.54,14.12,102.56,20.4,20.1,25,23.6,25.1,21.8,22.4,21.4,23.8,23.5,21.5,31,31,30,27,34,29,31,30,30,31,30,10.2,9.7,12.5,12.2,12.9,11.6,10.2,9.5,11.7,12.1,14.2,7,4,8,6,9,5,5,2,6,6,12,15.3,14.9,18.8,17.9,19,16.7,16.3,15.4,17.8,17.8,17.9,,,,,,,,,,,,,,,,
3,71.5,24.3,28.3,40,10.1,1,23.9,6.4,50.5,13.9,7.4,218.34,65.81,65.62,157.2,56.73,3.54,40.83,16.42,89.22,42.87,15.08,21.2,23.8,23.2,23.8,23.2,25.6,24.1,23.9,25.5,25,23.93,29,31,30,30,30,32,32,31,33,33,31.1,12.8,13.3,12.5,13.8,12.7,13.1,12.8,12.7,13.9,15.3,13.29,9,9,10,11,9,7,9,6,4,11,8.5,17,18.6,17.9,18.8,18,19.4,18.5,18.3,19.7,20.1,18.63,,,,,,,,,,,,,,,,
4,40,9.6,31.2,16.8,6.9,44.1,20,31.2,96.8,50.1,34.67,115.03,40.93,76.96,54.49,13.91,151.14,44.23,49.1,230.72,64.46,84.10,25.4,25.4,24.8,23.8,25.9,27.6,26.6,26.3,25.3,27,25.81,32,31,33,30,32,34,32,31,31,33,31.9,15.3,14.5,13.9,13.5,14,16.4,14.9,14.4,15.5,16.3,14.87,12,10,10,9,10,13,10,9,8,11,10.2,20.4,20,19.4,18.6,20,22,20.8,20.4,20.4,21.6,20.36,,,,,,,,,,,,,,,,
5,34.1,41,66.8,45.6,55.6,71.7,30.2,20,29.5,2.7,39.72,108.11,82.32,209.82,99.18,87.29,194.94,141.38,24.23,111.18,2.7,106.12,24.5,26.2,26.4,23.9,27.9,25.4,25.8,28,25.8,31.7,26.56,28,30,30,27,33,30,32,32,30,35,30.7,15.7,16.3,15.8,14.7,16.9,15.2,15.3,16.3,16.4,19.9,16.25,13,12,11,12,15,13,13,12,14,18,13.3,20.1,21.2,21.1,19.3,22.4,20.3,20.6,22.1,21.1,25.8,21.4,,,,,,,,,,,,,,,,
6,108.5,101,135.6,56.4,62.4,107,92.9,92.2,65.4,105,92.64,616.98,470.92,538.47,415.9,324.29,431.21,503.19,376.47,193.64,764.16,463.52,23.4,24.7,24.6,25.1,25.7,25.5,24,24.2,26.8,27.2,25.12,26,27,30,28,30,31,29,28,31,35,29.5,15.6,15,15.7,15.6,16.6,15,15.9,15,17.1,17.7,15.92,13,13,14,14,14,10,15,13,14,16,13.6,19.5,19.9,20.1,20.4,21.1,20.2,20,19.6,22,22.4,20.52,,,,,,,,,,,,,,,,
7,41.2,42.3,34.7,33.5,64.3,60.1,127,28.5,42.5,93.2,56.73,245.24,220.02,209.93,125.25,237.1,301.75,315.52,176.12,331.24,505.59,266.78,24.6,25,23.9,25.4,25.3,25.5,24.4,24.5,25.5,24.3,24.84,28,27,26,30,27,27,26,27,29,27,27.4,15.5,14.7,14.5,14.6,15,15.1,15.1,15.2,16.5,16,15.22,14,13,13,13,13,11,14,14,16,11,13.2,20,19.9,19.2,20,20.1,20.3,19.8,19.9,21,20.1,20.03,,,,,,,,,,,,,,,,
8,30.5,180,136.9,56.1,42.1,121.5,85.2,43.2,54.1,82.5,83.21,219.07,610.42,636.07,261.39,93.68,540.06,499.48,261.49,471.07,255.26,384.80,25,24.6,25,24.3,26.5,24.8,24.1,24.9,25.5,24.8,24.95,27,27,28,26,29,29,27,27,29,28,27.7,15.5,15.4,15.1,14.2,15.5,15.1,14.9,15.1,16.3,16.2,15.33,14,14,13,13,14,11,12,14,14,15,13.4,20.2,20,20,19.2,21,20,19.5,20,20.9,20.5,20.13,,,,,,,,,,,,,,,,
9,60,75.4,76,52.2,86.9,90.2,56.2,87.7,101.5,80,76.61,423.47,314.59,481.19,319.41,447.08,557.67,279.02,567.03,375.97,450.74,421.62,23.9,24.5,23.7,24.9,25,23.4,24.4,22.8,25.7,24.4,24.27,27,28,26,27,27,28,26,26,28,29,27.2,15.4,15.2,15.3,14.7,15.1,15.2,15.3,14.7,15.9,16.9,15.37,14,13,13,14,14,14,13,13,15,14,13.7,19.6,19.9,19.5,19.8,20,19.3,19.9,18.8,20.8,20.6,19.82,,,,,,,,,,,,,,,,
10,28.5,42.6,60,52.8,64.5,27.5,24,107.5,36.8,88.3,53.25,86.4,195.41,180.37,266.1,344.8,65.64,76.58,231.95,157.84,225.84,183.09,24.3,23.6,23.1,23.5,24.1,24.5,25,22.6,23.9,21,23.56,30,26,29,29,27,29,33,28,30,25,28.6,15.2,14,13.9,14.4,15,13.2,14.6,14.1,15.5,15.7,14.56,12,11,10,13,13,11,10,12,10,12,11.4,19.8,18.8,18.5,19,19.6,18.9,19.8,18.4,19.7,18.4,19.09,,,,,,,,,,,,,,,,
